glyph_id,page_number,line_number,sura_number,ayah_number,position,min_x,max_x,min_y,max_y
3512,180,3,6,17,1,0,1198,286,418
3513,180,4,6,17,2,13,1198,423,555
3514,180,5,6,18,1,13,1198,560,693
3515,180,6,6,19,1,0,1198,698,830
3516,180,7,6,19,2,0,1198,835,968
3517,180,8,6,19,3,0,1198,973,1105
3518,180,9,6,19,4,0,1198,1110,1243
3519,180,10,6,19,5,384,1198,1248,1380
3520,180,10,6,20,1,0,384,1248,1380
3521,180,11,6,20,2,0,1198,1385,1517
3522,180,12,6,20,3,294,1198,1522,1655
3523,180,12,6,21,1,0,294,1522,1655
3524,180,13,6,21,2,0,1198,1660,1793
3525,181,1,6,21,1,691,1198,10,143
3526,181,1,6,22,1,0,691,10,143
3527,181,2,6,22,2,0,1198,148,281
3528,181,3,6,22,3,899,1198,286,418
3529,181,3,6,23,1,0,899,286,418
3546,181,4,6,23,2,560,1198,423,555
3547,181,4,6,24,1,0,560,423,555
3548,181,5,6,24,2,201,1198,560,693
3549,181,5,6,25,1,0,201,560,693
3550,181,6,6,25,2,0,1198,698,830
3551,181,7,6,25,3,0,1198,835,968
3552,181,8,6,25,4,0,1198,973,1105
3553,181,9,6,25,5,139,1198,1110,1243
3554,181,9,6,26,1,0,139,1110,1243
3555,181,10,6,26,2,0,1198,1248,1380
3556,181,11,6,26,3,530,1198,1385,1517
3557,181,11,6,27,1,0,530,1385,1517
3558,181,12,6,27,2,0,1198,1522,1655
3559,181,13,6,27,3,548,1198,1660,1793
3560,181,13,6,28,1,0,548,1660,1793
3561,182,1,6,28,1,0,1198,10,143
3562,182,2,6,28,2,739,1198,148,281
3563,182,2,6,29,1,0,739,148,281
3564,182,3,6,29,2,648,1198,286,418
3565,182,3,6,30,1,0,648,286,418
3566,182,4,6,30,2,0,1198,423,555
3567,182,5,6,30,3,423,1198,560,693
3568,182,5,6,31,1,0,423,560,693
3569,182,6,6,31,2,0,1198,698,830
3570,182,7,6,31,3,0,1198,835,968
3571,182,8,6,31,4,107,1198,973,1105
3572,182,8,6,32,1,0,107,973,1105
3573,182,9,6,32,2,0,1198,1110,1243
3574,182,10,6,32,3,362,1198,1248,1380
